average_covered_charges,average_total_payments,total_discharges,bachelor_or_higher,hs_or_higher,total_payments,reimbursement,total_covered_charges,region_provider_name,reimbursement_percentage,drug_definition,referral_region,income_per_capita,median_earnings_bachelors,median_earnings_graduate,median_earnings_hs_grad,median_earnings_less_than_hs,median_family_income,number_of_records,population_over_25,provider_city,provider_id,provider_name,provider_state,provider_address,provider_zipcode,npi
131720,39235.6,20,12.9,78.6,$0.8m,29.80%,$2.6m,IN - Terre haute union hospital inc,0.297871694,853 - infectious & parasitic diseases w o.r. procedure w mcc,IN - Terre haute,17245,37692,48648,25843,18015,41358,1,7219,Terre haute,150023,union hospital inc,IN,1606 n seventh st,47804,1619975331
199211,43952.20833,24,23.5,86.1,$1.1m,22.10%,$4.8m,IN - Terre haute Terre haute regional hospital,0.220631894,853 - infectious & parasitic diseases w o.r. procedure w mcc,IN - Terre haute,23147,40404,59083,23879,17003,59228,1,23311,Terre haute,150046,Terre haute regional hospital,IN,3901 s seventh st,47802,1073550133
92603,32020.5,38,19,84.8,$1.2m,34.60%,$3.5m,KY - Louisville floyd memorial hospital and health services,0.345781846,853 - infectious & parasitic diseases w o.r. procedure w mcc,KY - Louisville,23188,44607,55880,29281,17112,54836,1,31653,new albany,150044,floyd memorial hospital and health services,IN,1850 state st,47150,1174761233
65723,30571.21053,19,20.6,86.7,$0.6m,46.50%,$1.2m,KY - Louisville clark memorial hospital,0.465154253,853 - infectious & parasitic diseases w o.r. procedure w mcc,KY - Louisville,24698,44092,56806,26821,20465,60170,1,29994,jeffersonville,150009,clark memorial hospital,IN,1220 missouri ave,47130,1134186315
27586,9096,20,,,$0.2m,33.00%,$0.6m,GA - Savannah hilton head regional medical center,0.329733668,065 - intracranial hemorrhage or cerebral infarction w cc,GA - Savannah,,,,,,,1,,hilton head isl,420080,hilton head regional medical center,SC,25 hospital center blvd,29925,1821869611
29248,6997.352941,17,14.1,71.8,$0.1m,23.90%,$0.5m,GA - Savannah coastal carolina hospital,0.239245949,065 - intracranial hemorrhage or cerebral infarction w cc,GA - Savannah,16506,30509,31667,27518,20742,47112,1,4285,hardeeville,420101,coastal carolina hospital,SC,1000 medical center drive,29927,1740444967
19900,6858,22,39.2,89.5,$0.2m,34.50%,$0.4m,GA - Savannah beaufort county memorial hospital,0.344619967,065 - intracranial hemorrhage or cerebral infarction w cc,GA - Savannah,29231,47606,66094,32283,13430,64939,1,8957,,420067,beaufort county memorial hospital,SC,955 ribaut rd,29902,1689776841
55148,6939.631579,19,13.1,78.1,$0.1m,12.60%,$1.0m,NC - Charlotte springs memorial hospital,0.125835424,065 - intracranial hemorrhage or cerebral infarction w cc,NC - Charlotte,17793,45813,50226,24345,19031,42015,1,30741,lancaster,420036,springs memorial hospital,SC,800 w meeting st,29720,1306811591
23246,7250.904762,84,17,81.3,$0.6m,31.20%,$2.0m,NC - Charlotte piedmont medical center,0.311924689,065 - intracranial hemorrhage or cerebral infarction w cc,NC - Charlotte,20311,42406,54040,28227,18544,49186,1,32330,rock hill,420002,piedmont medical center,SC,222 s herlong ave,29730,1073847372
33720,6853.789474,95,14.2,74,$0.7m,20.30%,$3.2m,SC - Charleston trident medical center,0.203253568,065 - intracranial hemorrhage or cerebral infarction w cc,SC - Charleston,16705,34903,48958,23875,14769,36969,1,17160,Charleston,420079,trident medical center,SC,9330 medical plaza dr,29406,1124443478
20148,6848.363636,11,15.3,75.2,$0.1m,34.00%,$0.2m,SC - Charleston colleton medical center,0.339899833,065 - intracranial hemorrhage or cerebral infarction w cc,SC - Charleston,16608,38774,49250,22282,19049,39322,1,14242,walterboro,420030,colleton medical center,SC,501 robertson boulevard,29488,1942245246
20955,6819.931034,29,14.6,78.8,$0.2m,32.50%,$0.6m,SC - Charleston georgetown memorial hospital,0.325452813,065 - intracranial hemorrhage or cerebral infarction w cc,SC - Charleston,19373,41039,51951,22906,14189,46299,1,19587,georgetown,420020,georgetown memorial hospital,SC,606 black river rd drawer 1718,29440,1982604021
25907,7469.857143,42,19.2,84.5,$0.3m,28.80%,$1.1m,SC - Charleston conway medical center,0.288331425,065 - intracranial hemorrhage or cerebral infarction w cc,SC - Charleston,22452,38468,59138,26074,20486,55293,1,24752,conway,420049,conway medical center,SC,300 singleton ridge road,29526,1134172000
28336,6062.986301,73,22.1,85.2,$0.4m,21.40%,$2.1m,SC - Charleston grand strand reg med center,0.213967821,065 - intracranial hemorrhage or cerebral infarction w cc,SC - Charleston,22149,33875,56250,16418,16904,41701,1,17734,myrtle beach,420085,grand strand reg med center,SC,809 82nd parkway box 7500,29577,1083668669
21231,6124.842105,38,28,92.7,$0.2m,28.80%,$0.8m,SC - Charleston waccamaw community hospital,0.288491525,065 - intracranial hemorrhage or cerebral infarction w cc,SC - Charleston,33719,41076,54239,24558,20559,56758,1,20120,murrells inlet,420098,waccamaw community hospital,SC,4070 highway 17 by-pass,29576,1972503910
28776,6341.7,70,70.9,95.5,$0.4m,22.00%,$2.0m,SC - Charleston roper hospital,0.22038496,065 - intracranial hemorrhage or cerebral infarction w cc,SC - Charleston,44515,37305,58315,34444,20938,126594,1,6222,Charleston,420087,roper hospital,SC,316 calhoun st,29401,1275503799
24452,6852.833333,36,43.3,96,$0.2m,28.00%,$0.9m,SC - Charleston bon secours-st francis xavier hospital,0.280256557,065 - intracranial hemorrhage or cerebral infarction w cc,SC - Charleston,31473,43258,54791,32364,14400,76250,1,22334,Charleston,420065,bon secours-st francis xavier hospital,SC,2095 henry tecklenburg drive,29414,1851361778
38073,6328.818182,11,56,96.3,$0.1m,16.60%,$0.4m,SC - Charleston east cooper medical center,0.166229704,065 - intracranial hemorrhage or cerebral infarction w cc,SC - Charleston,40717,44594,64269,29694,22301,91034,1,30642,mount pleasant,420089,east cooper medical center,SC,2000 hospital dr,29464,1821026816
45067,11472.57143,28,,,$0.3m,25.50%,$1.3m,SC - Columbia palmetto health baptist,0.254569229,065 - intracranial hemorrhage or cerebral infarction w cc,SC - Columbia,,,,,,,1,,Columbia,420086,palmetto health baptist,SC,taylor at marion,29220,1205889458
18279,7804.7,20,20.8,72.2,$0.2m,42.70%,$0.4m,SC - Columbia newberry county memorial hospital,0.426983319,065 - intracranial hemorrhage or cerebral infarction w cc,SC - Columbia,18649,41422,44296,27156,19750,44559,1,13206,newberry,420053,newberry county memorial hospital,SC,2669 kinard st po box 497,29108,1316030083
23771,9148.016393,61,16.9,74.3,$0.6m,38.50%,$1.5m,SC - Columbia self regional healthcare,0.384841747,065 - intracranial hemorrhage or cerebral infarction w cc,SC - Columbia,19279,33165,52292,22065,16334,41718,1,18304,greenwood,420071,self regional healthcare,SC,1325 spring street,29646,1407887003
48809,9901.5625,80,18.9,77.5,$0.8m,20.30%,$3.9m,SC - Columbia palmetto health richland,0.20286351,065 - intracranial hemorrhage or cerebral infarction w cc,SC - Columbia,16462,38112,43333,20987,15856,34629,1,26665,Columbia,420018,palmetto health richland,SC,5 richland medical park,29203,1154373843
